genome	substrates
TARA_SAMEA4397278_METAG_DGACBACO	exo-polysaccharide, arabinogalactan protein, peptidoglycan, alpha-galactan, cellulose, lignin, beta-glucan, xylan, trehalose, host glycan, raffinose, xyloglucan, arabinan, polyphenol, chitin
TARA_SAMEA4397278_METAG_KFCICLPM	trehalose, chitooligosaccharide, human milk polysaccharide, peptidoglycan, lignin, xylan, alpha-mannan, polyphenol, exo-polysaccharide, cellulose, beta-glucan, host glycan, beta-glucuronan, cellooligosaccharide, beta-galactan, chitin, pectin, glucooligosaccharide, beta-mannan, arabinan, chitosan
TARA_SAMEA4397278_METAG_LGLJBLKD	porphyran, trehalose, human milk polysaccharide, sialic acid, agarose, arabinogalactan protein, peptidoglycan, xylan, alpha-glucan, alpha-mannan, glycogen, xyloglucan, polyphenol, exo-polysaccharide, beta-glucan, host glycan, beta-glucuronan, beta-galactan, chitin, pectin, glucosylglycerate, starch, sucrose, carrageenan, beta-mannan, arabinan, chitosan
TARA_SAMEA4397239_METAG_KEFKMAJN	xyloglucan, arabinan, exo-polysaccharide, cellulose, chitosan, alpha-galactan, chitin, beta-glucan, beta-mannan, glycolipid, host glycan, polyphenol, peptidoglycan, trehalose, beta-glycan, raffinose, arabinogalactan protein, lignin, xylan
TARA_SAMEA4397239_METAG_EEFHHANB	xyloglucan, arabinan, exo-polysaccharide, beta-galactan, carrageenan, chitosan, chitin, beta-glucan, beta-mannan, porphyran, alpha-mannan, host glycan, beta-glucuronan, polyphenol, pectin, peptidoglycan, trehalose, arabinogalactan protein, beta-fucosides, lignin, agarose, human milk polysaccharide, uric acid, xylan, alkaloid
TARA_SAMEA4397239_METAG_HJNIHAKH	cephalosporin C, arabinan, exo-polysaccharide, beta-galactan, cellulose, chitosan, alpha-galactan, chitin, beta-glucan, beta-mannan, alpha-mannan, host glycan, beta-glucuronan, polyphenol, pectin, peptidoglycan, glucooligosaccharide, trehalose, raffinose, cellooligosaccharide, arabinogalactan protein, beta-fucosides, lignin, chitooligosaccharide, human milk polysaccharide, uric acid, xylan, alkaloid
TARA_SAMEA4397239_METAG_HAFCFHCB	xyloglucan, arabinan, alpha-glucan, sialic acid, glycogen, starch, exo-polysaccharide, beta-galactan, carrageenan, chitosan, chitin, beta-glucan, beta-mannan, porphyran, alpha-mannan, glucosylglycerate, host glycan, pectin, beta-glucuronan, polyphenol, peptidoglycan, trehalose, sucrose, arabinogalactan protein, agarose, human milk polysaccharide, xylan
TARA_SAMEA4397239_METAG_GDBAGMAK	xyloglucan, arabinan, alpha-glucan, glycogen, starch, exo-polysaccharide, beta-galactan, carrageenan, chitosan, chitin, beta-glucan, beta-mannan, porphyran, alpha-mannan, glucosylglycerate, host glycan, beta-glucuronan, pectin, polyphenol, peptidoglycan, trehalose, sucrose, arabinogalactan protein, lignin, agarose, human milk polysaccharide, xylan
TARA_SAMEA4397239_METAG_GJMAACPK	host glycan, beta-glucuronan, pectin, beta-galactan, lignin, chitosan, polyphenol, arabinan, chitin, peptidoglycan, human milk polysaccharide, beta-glucan, beta-mannan, trehalose, alpha-mannan, xylan, exo-polysaccharide
TARA_SAMEA4397239_METAG_OEFHPODE	host glycan, polyphenol, lignin, xyloglucan, arabinan, chitin, peptidoglycan, beta-glucan, xylan, exo-polysaccharide
TARA_SAMEA4397239_METAG_KKOONDLB	cellooligosaccharide, host glycan, polyphenol, cellulose, lignin, xyloglucan, arabinan, chitin, chitooligosaccharide, peptidoglycan, glucooligosaccharide, beta-glucan, xylan, exo-polysaccharide
TARA_SAMEA4397239_METAG_COHLBNIA	arabinogalactan protein, host glycan, polyphenol, cellulose, lignin, xyloglucan, arabinan, alpha-galactan, chitin, peptidoglycan, beta-glucan, trehalose, xylan, exo-polysaccharide, raffinose
TARA_SAMEA4397239_METAG_LNCEEDGJ	xyloglucan, arabinan, alpha-glucan, glycogen, starch, exo-polysaccharide, beta-galactan, cellulose, alpha-galactan, chitin, beta-glucan, beta-mannan, glucosylglycerate, host glycan, beta-glucuronan, polyphenol, peptidoglycan, glucooligosaccharide, trehalose, raffinose, sucrose, cellooligosaccharide, beta-fucosides, lignin, chitooligosaccharide, human milk polysaccharide, uric acid, xylan, alkaloid
TARA_SAMEA4397239_METAG_IMAKFBHM	host glycan, polyphenol, lignin, xyloglucan, arabinan, chitin, peptidoglycan, beta-glucan, xylan, exo-polysaccharide
TARA_SAMEA4397239_METAG_IFKGMDCJ	xyloglucan, arabinan, alpha-glucan, glycogen, starch, exo-polysaccharide, beta-galactan, cellulose, chitin, beta-glucan, beta-mannan, glucosylglycerate, pectin, beta-glucuronan, polyphenol, host glycan, peptidoglycan, trehalose, glucooligosaccharide, raffinose, sucrose, cellooligosaccharide, arabinogalactan protein, palatinose, beta-fucosides, lignin, chitooligosaccharide, human milk polysaccharide, uric acid, xylan, alkaloid
TARA_SAMEA4397239_METAG_IKJKOEDG	xyloglucan, arabinan, abscisic acid, exo-polysaccharide, cellulose, carrageenan, chitosan, chitin, beta-glucan, beta-mannan, porphyran, glycolipid, host glycan, beta-glucuronan, polyphenol, peptidoglycan, trehalose, beta-glycan, arabinogalactan protein, beta-fucosides, lignin, agarose, xylan, alkaloid
TARA_SAMEA4397239_METAG_LPCJDNJC	arabinan, exo-polysaccharide, cellulose, beta-galactan, chitosan, chitin, beta-glucan, beta-mannan, alpha-mannan, host glycan, beta-glucuronan, polyphenol, pectin, peptidoglycan, glucooligosaccharide, trehalose, cellooligosaccharide, lignin, chitooligosaccharide, human milk polysaccharide, xylan
TARA_SAMEA4397239_METAG_EAANGHBD	cephalosporin C, xyloglucan, arabinan, alpha-glucan, glycogen, abscisic acid, starch, exo-polysaccharide, beta-galactan, carrageenan, cellulose, chitosan, alpha-galactan, chitin, beta-glucan, beta-mannan, porphyran, alpha-mannan, glucosylglycerate, host glycan, beta-glucuronan, polyphenol, pectin, peptidoglycan, trehalose, raffinose, sucrose, arabinogalactan protein, beta-fucosides, lignin, agarose, human milk polysaccharide, uric acid, xylan, alkaloid
TARA_SAMEA4397239_METAG_DLOHGFCN	cellooligosaccharide, host glycan, polyphenol, cellulose, lignin, xyloglucan, arabinan, chitin, chitooligosaccharide, peptidoglycan, beta-glucan, glucooligosaccharide, trehalose, xylan, exo-polysaccharide
TARA_SAMEA4397355_METAG_GAMKNJMC	alpha-glucan, sialic acid, polyphenol, beta-galactan, glucosylglycerate, arabinan, sucrose, carrageenan, porphyran, xyloglucan, peptidoglycan, human milk polysaccharide, pectin, trehalose, agarose, host glycan, exo-polysaccharide, alpha-mannan, beta-glucuronan, arabinogalactan protein, chitosan, xylan, starch, beta-glucan, chitin, glycogen, beta-mannan
TARA_SAMEA4397355_METAG_NMOPFAIF	alpha-glucan, polyphenol, glucosylglycerate, sucrose, cellulose, carrageenan, porphyran, xyloglucan, peptidoglycan, trehalose, lignin, agarose, host glycan, exo-polysaccharide, beta-glucuronan, arabinogalactan protein, abscisic acid, beta-fucosides, xylan, starch, beta-glucan, chitin, glycogen, beta-mannan
TARA_SAMEA4397355_METAG_ALCFNLAC	lignin, xyloglucan, chitooligosaccharide, polyphenol, peptidoglycan, glucooligosaccharide, host glycan, exo-polysaccharide, cellooligosaccharide, xylan, beta-glucan, arabinan, chitin, cellulose
TARA_SAMEA4397355_METAG_JOOIAFCP	polyphenol, beta-galactan, arabinan, sucrose, cellulose, carrageenan, porphyran, xyloglucan, peptidoglycan, chitooligosaccharide, cellooligosaccharide, pectin, trehalose, lignin, agarose, host glycan, exo-polysaccharide, alpha-mannan, palatinose, raffinose, beta-glucuronan, arabinogalactan protein, abscisic acid, chitosan, glucooligosaccharide, beta-fucosides, starch, xylan, beta-glucan, chitin, beta-mannan
TARA_SAMEA4397355_METAG_KCONGBFG	alpha-glucan, lignin, xyloglucan, peptidoglycan, polyphenol, glycogen, host glycan, exo-polysaccharide, xylan, human milk polysaccharide, starch, glucosylglycerate, beta-glucan, arabinan, chitin, sucrose, trehalose
TARA_SAMEA4397355_METAG_NJHOEOAH	lignin, xyloglucan, peptidoglycan, chitooligosaccharide, polyphenol, glucooligosaccharide, host glycan, exo-polysaccharide, cellooligosaccharide, xylan, beta-glucan, arabinan, chitin, pectin, cellulose
TARA_SAMEA4397355_METAG_KAONEKCA	lignin, peptidoglycan, chitooligosaccharide, glucooligosaccharide, cellooligosaccharide, exo-polysaccharide, chitin
TARA_SAMEA4397355_METAG_JBCODGFD	lignin, cephalosporin C, fructan, chitooligosaccharide, polyphenol, peptidoglycan, glucooligosaccharide, host glycan, cellooligosaccharide, xylan, exo-polysaccharide, ulvan, chitin, pectin, cellulose, trehalose
TARA_SAMEA4397355_METAG_HBEMBLBK	sialic acid, polyphenol, beta-galactan, alkaloid, arabinan, beta-glycan, cellulose, carrageenan, porphyran, xyloglucan, peptidoglycan, glycolipid, human milk polysaccharide, pectin, trehalose, agarose, host glycan, exo-polysaccharide, alpha-mannan, beta-glucuronan, arabinogalactan protein, uric acid, chitosan, beta-fucosides, xylan, beta-glucan, chitin, beta-mannan
TARA_SAMEA4397355_METAG_KGNDFNFL	alpha-glucan, polyphenol, beta-galactan, glucosylglycerate, arabinan, cellulose, sucrose, carrageenan, porphyran, xyloglucan, peptidoglycan, human milk polysaccharide, pectin, trehalose, lignin, agarose, host glycan, exo-polysaccharide, alpha-mannan, beta-glucuronan, arabinogalactan protein, chitosan, xylan, starch, beta-glucan, chitin, glycogen, beta-mannan
TARA_SAMEA4397355_METAG_BCPMNKPD	lignin, cephalosporin C, chitooligosaccharide, polyphenol, peptidoglycan, glucooligosaccharide, host glycan, cellooligosaccharide, xylan, exo-polysaccharide, ulvan, chitin, pectin, cellulose, trehalose
TARA_SAMEA4397355_METAG_PAGPFGJC	alpha-glucan, polyphenol, beta-galactan, glucosylglycerate, alkaloid, arabinan, cellulose, sucrose, xyloglucan, chitooligosaccharide, peptidoglycan, cellooligosaccharide, human milk polysaccharide, pectin, trehalose, lignin, host glycan, exo-polysaccharide, alpha-mannan, beta-glucuronan, arabinogalactan protein, uric acid, chitosan, glucooligosaccharide, beta-fucosides, xylan, starch, beta-glucan, chitin, glycogen, beta-mannan
TARA_SAMEA4397355_METAG_AFNLEMOF	alpha-glucan, polyphenol, beta-galactan, arabinan, cellulose, xyloglucan, chitooligosaccharide, peptidoglycan, cellooligosaccharide, pectin, lignin, host glycan, exo-polysaccharide, alpha-mannan, beta-glucuronan, chitosan, glucooligosaccharide, xylan, beta-glucan, chitin, beta-mannan
TARA_SAMEA4397355_METAG_PIFAJGNL	host glycan, chitin, exo-polysaccharide
TARA_SAMEA4397355_METAG_OAHAPAHA	lignin, xyloglucan, chitooligosaccharide, polyphenol, peptidoglycan, glucooligosaccharide, host glycan, cellooligosaccharide, xylan, exo-polysaccharide, starch, ulvan, beta-glucan, arabinan, chitin, pectin, cellulose, trehalose
TARA_SAMEA4397355_METAG_LDDMDHHP	sucrose, lignin, alpha-glucan, chitooligosaccharide, polyphenol, peptidoglycan, glucooligosaccharide, glycogen, cellooligosaccharide, xylan, exo-polysaccharide, starch, glucosylglycerate, chitin, cellulose, trehalose
TARA_SAMEA4397311_METAG_ENPFOOIL	arabinan, exo-polysaccharide, xyloglucan, chitin, glucooligosaccharide, chitooligosaccharide, peptidoglycan, polyphenol, trehalose, cellooligosaccharide, beta-glucan, xylan, cellulose, lignin, host glycan
TARA_SAMEA4397311_METAG_ABPPOKKB	polyphenol, alkaloid, glucosylglycerate, beta-glucuronan, alpha-glucan, cellulose, xyloglucan, glucooligosaccharide, arabinogalactan protein, sucrose, beta-glucan, starch, glycogen, xylan, pectin, arabinan, exo-polysaccharide, chitin, uric acid, beta-mannan, trehalose, lignin, host glycan, human milk polysaccharide, beta-galactan, chitooligosaccharide, peptidoglycan, cellooligosaccharide, raffinose, beta-fucosides, abscisic acid, palatinose
TARA_SAMEA4397311_METAG_NGBFAPNO	arabinan, exo-polysaccharide, chitin, xyloglucan, arabinogalactan protein, peptidoglycan, polyphenol, trehalose, beta-glucan, raffinose, alpha-galactan, xylan, cellulose, lignin, host glycan
TARA_SAMEA4397311_METAG_JMIIIKEJ	arabinan, exo-polysaccharide, chitin, xyloglucan, glucooligosaccharide, chitooligosaccharide, peptidoglycan, polyphenol, trehalose, cellooligosaccharide, beta-glucan, xylan, cellulose, lignin, host glycan
TARA_SAMEA4397311_METAG_MOPPHLCF	arabinan, exo-polysaccharide, xyloglucan, chitin, peptidoglycan, polyphenol, beta-glucan, xylan, lignin, host glycan
TARA_SAMEA4397311_METAG_IAEDMILH	porphyran, alpha-mannan, polyphenol, beta-glucuronan, cellulose, xyloglucan, arabinogalactan protein, agarose, beta-glucan, xylan, pectin, arabinan, exo-polysaccharide, chitin, beta-mannan, trehalose, lignin, host glycan, beta-galactan, chitosan, peptidoglycan, carrageenan
TARA_SAMEA4397311_METAG_OIGPDLKO	porphyran, polyphenol, alkaloid, beta-glucuronan, xyloglucan, arabinogalactan protein, agarose, beta-glucan, xylan, arabinan, exo-polysaccharide, chitin, uric acid, beta-mannan, trehalose, lignin, host glycan, human milk polysaccharide, beta-galactan, peptidoglycan, carrageenan, beta-fucosides
TARA_SAMEA4397311_METAG_NJFCIEDB	arabinan, exo-polysaccharide, chitin, beta-galactan, chitosan, peptidoglycan, alpha-mannan, polyphenol, beta-mannan, trehalose, beta-glucan, beta-glucuronan, xylan, lignin, host glycan, pectin, human milk polysaccharide
TARA_SAMEA4397311_METAG_CNLAMCIL	arabinan, arabinogalactan protein, polyphenol, trehalose, sucrose, raffinose, glucosylglycerate, alpha-galactan, starch, alpha-glucan, xylan, glycogen, host glycan
TARA_SAMEA4397311_METAG_IBCMHNBM	porphyran, glucosylglycerate, alpha-glucan, cellulose, xyloglucan, arabinogalactan protein, agarose, sucrose, beta-glucan, alpha-galactan, starch, glycogen, xylan, fructan, exo-polysaccharide, chitin, trehalose, host glycan, human milk polysaccharide, chitosan, peptidoglycan, carrageenan
MALA_SAMN05422148_METAG_LAEONHEK	alpha-glucan, xyloglucan, exo-polysaccharide, xylan, trehalose, sucrose, glucosylglycerate, lignin, host glycan, glycogen, arabinan, pectin, chitin, starch, polyphenol, peptidoglycan, beta-glucan
MALA_SAMN05422148_METAG_CIJEHAMJ	xyloglucan, exo-polysaccharide, xylan, glucosylglycerate, glucooligosaccharide, glycogen, peptidoglycan, beta-glucan, cellooligosaccharide, sucrose, starch, trehalose, alpha-glucan, lignin, chitin, chitooligosaccharide, cellulose, host glycan, polyphenol
MALA_SAMN05422148_METAG_CGDDCMGE	exo-polysaccharide, peptidoglycan, beta-mannan, xylan, chitosan, host glycan, arabinan, beta-galactan, chitin, alpha-mannan, pectin, beta-glucuronan, polyphenol, trehalose, beta-glucan
MALA_SAMN05422148_METAG_NDJFDIOK	xyloglucan, exo-polysaccharide, xylan, glucosylglycerate, glucooligosaccharide, alpha-galactan, glycogen, arabinan, peptidoglycan, beta-glucan, cellooligosaccharide, sucrose, starch, trehalose, arabinogalactan protein, alpha-glucan, raffinose, lignin, chitin, chitooligosaccharide, cellulose, host glycan, polyphenol
MALA_SAMN05422148_METAG_FCOMONOA	alpha-glucan, peptidoglycan, exo-polysaccharide, xylan, cellulose, cephalosporin C, glucooligosaccharide, cellooligosaccharide, ulvan, lignin, host glycan, pectin, alpha-mannan, chitin, chitooligosaccharide, starch, polyphenol, trehalose
MALA_SAMN05422148_METAG_CKCFHHDP	xyloglucan, exo-polysaccharide, xylan, glucosylglycerate, glucooligosaccharide, alpha-galactan, glycogen, arabinan, beta-galactan, alpha-mannan, peptidoglycan, beta-glucan, glycolipid, cellooligosaccharide, sucrose, cutin, starch, beta-glycan, trehalose, alpha-glucan, arabinogalactan protein, porphyran, chitosan, lignin, chitin, carrageenan, agarose, chitooligosaccharide, beta-mannan, cellulose, host glycan, pectin, beta-glucuronan, polyphenol
MALA_SAMN05422148_METAG_PBJMOFAG	polyphenol, xyloglucan, exo-polysaccharide, cellulose, xylan, cellooligosaccharide, glucooligosaccharide, lignin, host glycan, arabinan, chitin, chitooligosaccharide, peptidoglycan, beta-glucan
MALA_SAMN05422148_METAG_MOEOEKNG	xyloglucan, exo-polysaccharide, xylan, glucooligosaccharide, arabinan, beta-galactan, alpha-mannan, peptidoglycan, beta-glucan, cellooligosaccharide, alpha-glucan, chitosan, lignin, chitin, chitooligosaccharide, beta-mannan, cellulose, host glycan, pectin, beta-glucuronan, polyphenol
MALA_SAMN05422148_METAG_FNEFGJEP	xyloglucan, exo-polysaccharide, xylan, alkaloid, arabinan, beta-galactan, alpha-mannan, peptidoglycan, beta-glucan, uric acid, human milk polysaccharide, chitosan, lignin, beta-fucosides, chitin, beta-mannan, host glycan, pectin, beta-glucuronan, polyphenol, alpha-rhamnoside
MALA_SAMN05422148_METAG_FLFHNCBN	xyloglucan, exo-polysaccharide, xylan, glucosylglycerate, glucooligosaccharide, alkaloid, glycogen, arabinan, peptidoglycan, beta-glucan, cellooligosaccharide, sucrose, starch, trehalose, arabinogalactan protein, alpha-glucan, porphyran, chitosan, lignin, carrageenan, chitin, agarose, chitooligosaccharide, alginate, cellulose, host glycan, pectin, polyphenol
MALA_SAMN05422148_METAG_IFLPOAIP	xyloglucan, exo-polysaccharide, xylan, glucosylglycerate, glucooligosaccharide, alkaloid, glycogen, arabinan, beta-galactan, alpha-mannan, peptidoglycan, glycolipid, beta-glucan, cellooligosaccharide, sucrose, starch, beta-glycan, trehalose, alpha-glucan, arabinogalactan protein, porphyran, chitosan, lignin, chitin, carrageenan, agarose, chitooligosaccharide, beta-mannan, cellulose, host glycan, glycosidases, pectin, polyphenol
TARA_SAMEA2621278_METAG_AJOJAPJO	xylan, cellooligosaccharide, glucooligosaccharide, lignin, trehalose, chitin, peptidoglycan, polyphenol, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621277_METAG_KMCKJLIC	pectin, xylan, cellooligosaccharide, host glycan, glucooligosaccharide, lignin, trehalose, ulvan, chitin, peptidoglycan, exo-polysaccharide, polyphenol, cellulose, chitooligosaccharide, cephalosporin C
TARA_SAMEA2621278_METAG_GMLIGPEM	xyloglucan, pectin, xylan, cellooligosaccharide, host glycan, arabinan, beta-glucan, glucooligosaccharide, lignin, chitin, peptidoglycan, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621272_METAG_HGBKLAMB	xylan, host glycan, lignin, trehalose, chitin, peptidoglycan, polyphenol, cellulose, exo-polysaccharide
TARA_SAMEA2621278_METAG_BMGJHFGO	host glycan
TARA_SAMEA2621278_METAG_KEADFBLO	xylan, host glycan, lignin, chitin, exo-polysaccharide, fructan, cellulose, cephalosporin C
TARA_SAMEA2621272_METAG_AKENJOIK	xyloglucan, pectin, xylan, cellooligosaccharide, host glycan, arabinan, glucooligosaccharide, beta-galactan, lignin, trehalose, sialic acid, chitin, fructan, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621277_METAG_JBNFLJGD	xylan, cellooligosaccharide, host glycan, human milk polysaccharide, glucooligosaccharide, lignin, trehalose, chitin, peptidoglycan, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621277_METAG_MHMODPJB	pectin, host glycan, lignin, ulvan, chitin, cellulose, exo-polysaccharide
TARA_SAMEA2621278_METAG_BCECPHHK	xylan, host glycan, lignin, chitin, peptidoglycan, cellulose, exo-polysaccharide
TARA_SAMEA2621278_METAG_JCNLAAAD	xyloglucan, pectin, xylan, cellooligosaccharide, host glycan, arabinan, glucooligosaccharide, beta-galactan, lignin, trehalose, sialic acid, chitin, fructan, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621272_METAG_LKFMFFDI	xyloglucan, pectin, xylan, cellooligosaccharide, host glycan, arabinan, beta-glucan, glucooligosaccharide, lignin, chitin, peptidoglycan, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621277_METAG_ILDPBJGM	xyloglucan, host glycan, glycolipid, alpha-glucan, lignin, beta-glycan, exo-polysaccharide, human milk polysaccharide, beta-glucan, beta-galactan, chitin, carrageenan, xylan, arabinan, trehalose, cellulose, starch, chitosan, arabinogalactan protein, peptidoglycan, agarose, beta-mannan, polyphenol, porphyran
TARA_SAMEA2621277_METAG_LJGPFCCG	xyloglucan, host glycan, alpha-glucan, beta-fucosides, exo-polysaccharide, human milk polysaccharide, beta-glucan, beta-galactan, uric acid, chitin, carrageenan, glucosylglycerate, beta-glucuronan, glycogen, xylan, alkaloid, trehalose, starch, sucrose, arabinogalactan protein, peptidoglycan, agarose, beta-mannan, abscisic acid, polyphenol, porphyran
TARA_SAMEA2621272_METAG_NGEHNNNM	pectin, xylan, cellooligosaccharide, host glycan, glucooligosaccharide, lignin, trehalose, ulvan, chitin, polyphenol, cellulose, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621277_METAG_MHELEDKP	xylan, cellooligosaccharide, glucooligosaccharide, chitin, peptidoglycan, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621272_METAG_GNEPODJB	xylan, host glycan, lignin, chitin, exo-polysaccharide, fructan, cellulose, cephalosporin C
TARA_SAMEA2621277_METAG_EDGAFOGJ	host glycan, lignin, chitin, cellulose, exo-polysaccharide
TARA_SAMEA2621272_METAG_LOLICIOM	host glycan, lignin, chitin, cellulose, exo-polysaccharide
TARA_SAMEA2621272_METAG_NBLOMKMN	pectin, xylan, cellooligosaccharide, host glycan, glucooligosaccharide, lignin, trehalose, ulvan, chitin, peptidoglycan, exo-polysaccharide, polyphenol, cellulose, chitooligosaccharide, cephalosporin C
TARA_SAMEA2621277_METAG_CFLCHGGP	xylan, host glycan, lignin, chitin, exo-polysaccharide, fructan, cellulose, cephalosporin C
TARA_SAMEA2621272_METAG_FFCCJPDE	xyloglucan, cellooligosaccharide, host glycan, alpha-mannan, glucooligosaccharide, lignin, exo-polysaccharide, beta-glucan, chitin, chitooligosaccharide, xylan, arabinan, trehalose, cellulose, starch, sucrose, chitosan, alpha-galactan, peptidoglycan, polyphenol
TARA_SAMEA2621272_METAG_DNBJPIPE	xylan, cellooligosaccharide, glucooligosaccharide, lignin, trehalose, chitin, peptidoglycan, polyphenol, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621272_METAG_FCFCOBCJ	xylan, cellooligosaccharide, glucooligosaccharide, chitin, peptidoglycan, chitooligosaccharide, exo-polysaccharide
TARA_SAMEA2621551_METAG_INMMJGPH	xylan, trehalose, exo-polysaccharide, polyphenol, peptidoglycan
TARA_SAMEA2621551_METAG_DMLPNCOO	pectin, sucrose, xyloglucan, chitooligosaccharide, human milk polysaccharide, beta-glucuronan, beta-fucosides, glycogen, cellooligosaccharide, alkaloid, trehalose, alpha-glucan, lignin, chitosan, polyphenol, glucooligosaccharide, peptidoglycan, xylan, arabinogalactan protein, beta-galactan, arabinan, alpha-mannan, beta-glucan, chitin, host glycan, starch, exo-polysaccharide, uric acid, glucosylglycerate, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_MMPJBINL	sucrose, carrageenan, beta-glycan, agarose, xyloglucan, human milk polysaccharide, beta-glucuronan, beta-fucosides, glycogen, trehalose, alpha-glucan, glycolipid, lignin, chitosan, polyphenol, peptidoglycan, xylan, arabinogalactan protein, arabinan, abscisic acid, porphyran, alpha-mannan, beta-glucan, chitin, host glycan, starch, alpha-galactan, exo-polysaccharide, glucosylglycerate, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_FEMOOLBM	chitin, cellooligosaccharide, pectin, host glycan, starch, cephalosporin C, xylan, trehalose, ulvan, alpha-glucan, exo-polysaccharide, peptidoglycan, lignin, polyphenol, chitooligosaccharide, cellulose, glucooligosaccharide
TARA_SAMEA2621551_METAG_FGDPBCFM	pectin, carrageenan, sucrose, agarose, xyloglucan, human milk polysaccharide, beta-glucuronan, glycogen, trehalose, alpha-glucan, lignin, chitosan, polyphenol, peptidoglycan, xylan, arabinogalactan protein, beta-galactan, porphyran, arabinan, alpha-mannan, beta-glucan, chitin, host glycan, starch, exo-polysaccharide, glucosylglycerate, beta-mannan
TARA_SAMEA2621551_METAG_IABJEDGB	pectin, sucrose, xyloglucan, beta-glucuronan, glycogen, trehalose, alpha-glucan, lignin, chitosan, polyphenol, peptidoglycan, xylan, beta-galactan, arabinan, alpha-mannan, beta-glucan, chitin, host glycan, starch, exo-polysaccharide, glucosylglycerate, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_BLBKBPAO	chitin, host glycan, xylan, trehalose, exo-polysaccharide, lignin, polyphenol, peptidoglycan, beta-mannan
TARA_SAMEA2621551_METAG_GHEEBCED	pectin, sucrose, chitooligosaccharide, cellooligosaccharide, cephalosporin C, ulvan, alpha-glucan, lignin, glucooligosaccharide, raffinose, peptidoglycan, fructan, palatinose, xylan, alpha-mannan, beta-glucan, chitin, host glycan, starch, exo-polysaccharide, cellulose
TARA_SAMEA2621551_METAG_AJELNHCL	chitin, cellooligosaccharide, host glycan, starch, trehalose, xylan, exo-polysaccharide, polyphenol, chitooligosaccharide, alpha-mannan, glucooligosaccharide
TARA_SAMEA2621551_METAG_OCNNGEFF	pectin, xyloglucan, sialic acid, chitooligosaccharide, beta-glucuronan, cellooligosaccharide, trehalose, alpha-glucan, lignin, chitosan, polyphenol, peptidoglycan, glucooligosaccharide, xylan, beta-galactan, arabinan, alpha-mannan, beta-glucan, chitin, host glycan, exo-polysaccharide, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_MNJLJAEC	chitin, glycogen, cellooligosaccharide, sucrose, host glycan, starch, xylan, alpha-glucan, trehalose, exo-polysaccharide, lignin, polyphenol, glucooligosaccharide, chitooligosaccharide, glucosylglycerate, cellulose, peptidoglycan
TARA_SAMEA2621551_METAG_IBCCMGFG	pectin, carrageenan, sucrose, beta-glycan, xyloglucan, sialic acid, human milk polysaccharide, chitooligosaccharide, alpha-rhamnoside, cellooligosaccharide, ulvan, trehalose, glycolipid, chitosan, lignin, polyphenol, peptidoglycan, glucooligosaccharide, raffinose, fructan, palatinose, xylan, arabinogalactan protein, beta-galactan, arabinan, beta-glucan, chitin, host glycan, starch, alpha-galactan, exo-polysaccharide, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_ILCOJHCE	pectin, sucrose, xyloglucan, sialic acid, human milk polysaccharide, beta-glucuronan, cephalosporin C, trehalose, lignin, chitosan, polyphenol, peptidoglycan, raffinose, fructan, palatinose, xylan, beta-galactan, arabinan, alpha-mannan, beta-glucan, chitin, host glycan, starch, alpha-galactan, exo-polysaccharide, cellulose, beta-mannan
TARA_SAMEA2621551_METAG_BCOOPLHK	chitin, cellooligosaccharide, pectin, host glycan, ulvan, xylan, peptidoglycan, trehalose, exo-polysaccharide, lignin, polyphenol, chitooligosaccharide, cellulose, glucooligosaccharide
TARA_SAMEA2621551_METAG_KNGBNMOK	pectin, sucrose, carrageenan, beta-glycan, agarose, xyloglucan, human milk polysaccharide, beta-glucuronan, beta-fucosides, alkaloid, glycogen, ulvan, alpha-glucan, trehalose, glycolipid, lignin, chitosan, polyphenol, alginate, peptidoglycan, xylan, arabinogalactan protein, beta-galactan, arabinan, porphyran, alpha-mannan, beta-glucan, chitin, host glycan, starch, alpha-galactan, exo-polysaccharide, uric acid, glucosylglycerate, cellulose, beta-mannan
